	ko1	ko2	ko3	wt1	wt2	wt3
1417743_at	7.15	7.08	8.38	8.77	8.83	6.96
1444133_at	2.98	3.04	4.29	4.58	4.72	3.02
1457212_at	2.36	2.46	3.68	4.2	4.28	2.38
1425525_a_at	5.98	6.14	7.22	7.82	7.48	6.03
1454361_at	2.69	2.89	3.88	4.53	4.31	2.64
1430785_at	3.04	3.14	4.2	4.58	4.63	2.95
1426870_at	7.97	8.32	9.68	9.9	9.72	8.14
1438799_at	2.63	2.33	3.63	4.12	4.04	2.37
1435998_at	2.96	2.9	5.2	4.51	4.56	3.48
1421627_at	3.68	3.78	5.1	5.66	5.49	3.78
1431770_at	4.18	4.16	5.45	5.83	5.99	4.2
1450448_at	3.99	4.24	5.41	5.93	5.99	4.24
1436376_s_at	6.81	6.77	7.98	8.41	8.37	6.72
1428740_a_at	5.58	5.71	7.03	7.31	7.43	5.52
1442470_at	2.73	3.14	4.28	4.75	4.65	3.11
1448283_a_at	9.8	9.88	11.08	11.49	11.37	9.75
1427227_at	2.4	2.44	3.86	4.09	3.99	2.27
1437646_at	3.67	3.99	5	5.4	5.26	3.44
1460449_at	2.32	2.22	3.41	4.06	4	2.19
1452737_at	8.8	8.89	10.04	10.35	10.5	8.57
1429905_at	2.6	2.52	3.97	4.24	4.06	2.27
1439893_at	3.78	3.77	4.9	5.49	5.39	3.64
1442443_at	5.25	5.25	6.51	6.71	6.95	5.33
1420731_a_at	4.13	4.67	5.52	6.36	6.32	4.46
1446653_at	3.85	3.79	5.14	5.67	5.55	4.11
1440810_x_at	2.16	2.18	3.47	4.01	3.7	2.02
1439208_at	3.55	3.58	4.93	5.61	5.39	3.73
1457829_at	3.39	3.51	4.95	5.45	5.34	3.53
1429780_at	2.21	2.3	3.52	3.9	3.95	2.23
1460711_at	7.93	8.02	9.26	9.68	9.56	7.87
1418083_at	7.3	7.21	8.42	9.18	8.76	7.31
1458972_at	3.13	3.25	4.49	4.94	4.86	3.05
1428978_at	2.7	3.02	4.03	4.61	4.61	2.67
1448472_at	8.24	8.76	9.66	10.01	10.04	8.25
1426113_x_at	11.34	11.19	12.65	13.03	13.14	11.5
1421720_a_at	6.15	6.02	7.52	7.68	7.71	5.96
1416659_at	9.01	9.34	10.61	10.94	10.9	9.14
1443427_at	3.41	3.52	4.77	5.08	5.27	3.19
1450822_at	2.37	2.58	3.79	4.46	4.39	2.42
1426259_at	6.26	6.05	7.21	7.66	7.82	5.98
1425353_at	3.09	2.95	4.21	4.83	4.97	2.94
1455842_x_at	2.3	2.48	3.73	4.35	4.19	2.63
1423893_x_at	4.96	4.84	5.8	7.04	6.81	4.79
1454413_at	2.56	2.46	3.7	4.32	3.99	2.3
1431757_s_at	2.56	2.7	3.84	4.45	4.39	2.62
1440958_at	4.71	4.57	5.94	6.31	6.41	4.59
1447291_at	3.64	3.5	4.62	5.17	5.2	3.68
1416709_a_at	7.11	7.51	8.36	8.96	8.88	6.7
1416656_at	11.38	11.31	12.61	13.21	13.19	11.49
1445845_at	2.46	2.3	3.5	4.31	4.08	2.45
1433309_at	2.78	2.97	3.87	4.35	4.5	2.73
1429254_at	2.45	2.56	3.76	4.34	4.21	2.5
1446843_at	2.6	2.77	4.03	4.4	4.51	2.8
1425121_a_at	2.51	2.58	3.83	4.26	4.19	2.6
1416307_at	8.37	8.34	9.65	10.25	10.21	8.38
1451898_a_at	6.4	6.47	7.73	8.44	8.3	6.54
1448624_at	8.49	8.32	9.72	10.25	10.16	8.48
1420577_at	3.41	3.03	4.41	5.22	5.25	3.41
1431520_at	4.61	4.66	5.79	6.3	6.23	4.44
1428803_at	3.97	4.54	5.44	6.1	5.83	4.12
1449926_at	7.93	7.58	9.44	8.56	7.91	7.16
1441486_at	2.44	2.43	3.56	4.26	4.33	2.53
1445710_x_at	2.72	2.71	4.38	4.47	4.45	2.87
1436917_s_at	4.07	4.07	5.13	5.67	5.45	3.57
1454635_at	7.39	7.37	8.66	9.26	9.12	7.46
1445028_at	2.76	2.73	3.93	4.64	4.52	2.78
1415813_at	9.63	9.68	10.79	11.34	11.27	9.54
1454684_at	3.09	3	4.13	4.59	4.7	2.96
1418595_at	2.96	2.78	4.32	5.05	4.77	2.95
1432886_at	3.15	3.36	4.5	4.98	4.88	3.2
1446500_at	2.46	2.17	3.46	3.94	4.07	2.27
1447180_at	3.36	3.61	4.66	4.99	5.15	3.24
1420203_at	2.25	2.22	3.48	3.92	3.96	2.26
1440962_at	3.68	3.66	5.35	5.42	5.39	3.69
1452923_at	7.2	7.32	8.09	8.68	8.48	6.81
1454264_at	2.66	2.88	3.83	4.47	4.35	2.67
1439253_x_at	11.43	11.43	12.61	13.36	13.21	11.43
1416124_at	7.5	7.14	8.94	9.36	9.04	7.7
1450433_at	3.99	3.98	5.4	5.76	5.74	4.06
1454728_s_at	4.15	4.14	5.22	5.66	5.49	3.56
1436688_x_at	12.39	12.36	13.5	14.06	13.89	12.28
1442268_a_at	6.55	6.53	7.69	8.36	8.27	6.59
1440282_at	2.36	2.23	3.35	3.93	3.88	2.39
1453071_s_at	5.55	5.72	7.1	7.58	7.46	5.81
1426662_at	9.28	9.23	10.31	11.05	11.13	9.17
1429409_at	2.57	2.65	3.63	4.32	4.19	2.47
1447800_x_at	6.32	6.31	7.22	8.19	8.16	6.22
1448901_at	3.37	3.18	4.23	5.09	4.77	3.14
1434418_at	5.75	6.29	5.33	8.21	7.51	6.09
1419651_at	4.38	4.6	5.91	6.09	5.91	4.15
1448537_at	7.71	7.7	8.93	9.48	9.3	7.66
1427681_s_at	2.49	2.43	3.56	4.22	4.06	2.26
1436538_at	5.61	5.68	6.79	8.04	7.96	6.13
1428897_at	7.43	7.34	8.34	9.12	9.09	7.3
1451521_x_at	10.11	10.25	11.51	11.95	11.88	10.15
1436098_at	2.91	3.13	4.21	4.77	4.56	2.86
1436973_at	2.36	2.33	3.74	4.17	4.29	2.53
1419152_at	7.92	7.93	9.11	9.92	6.29	7.07
1445262_at	2.83	2.77	4.08	4.63	4.59	2.86
1457089_at	4	3.88	5.32	5.71	5.54	3.81
1441918_x_at	6.38	6.35	7.77	8.26	8.22	6.54
1436714_at	7.69	7.61	8.74	9.51	9.4	7.71
1443402_at	2.42	2.53	3.66	4.24	4.23	2.47
1427630_x_at	2.66	2.76	3.93	4.48	4.43	2.51
1426472_at	5.06	3.95	4.95	4.76	4.83	4.39
1436440_at	3.32	3.16	4.24	5.26	5.15	3.41
1433876_at	3.24	3.34	4.57	5.01	4.91	3.14
1450911_at	11.09	11.12	12.38	12.85	12.93	11.11
1425550_a_at	10.98	10.82	12.07	12.69	12.82	10.97
1458430_at	2.95	3.04	4.5	4.86	4.82	2.99
1445440_at	2.72	2.64	3.84	4.37	4.56	2.71
1422430_at	8.63	8.41	9.75	10.54	10.43	8.68
1438258_at	3.04	2.95	4.19	4.76	4.8	2.75
1443187_at	2.62	2.67	3.78	4.45	4.39	2.52
1420533_at	4.56	4.24	5.78	6.08	5.64	4.15
1459336_at	2.48	2.43	3.71	4.15	4.01	2.3
1435162_at	2.46	2.38	3.83	4.13	3.97	2.34
1424442_a_at	7.13	6.98	8.24	8.88	8.65	7.19
1425275_at	3.97	3.86	5.04	5.77	5.69	3.65
1460671_at	11.14	11.23	12.53	13.02	12.85	11.24
1440551_at	4.71	4.96	6.2	6.31	6.19	4.56
1429783_at	2.65	2.94	3.93	4.52	4.54	2.6
1447258_at	2.72	2.65	4.07	4.42	4.31	2.67
1419055_a_at	3.39	3.24	4.7	5	5.02	3.52
1456798_at	2.45	2.55	3.63	4.01	4.06	2.39
1438981_at	2.59	2.64	3.77	4.11	4.03	2.46
1456664_x_at	10.69	10.82	12	12.77	12.62	10.86
1422222_at	3.69	3.37	4.3	5.36	5.27	3.54
1419851_at	2.98	2.92	4.04	4.93	4.76	2.94
1456105_at	2.5	2.52	3.77	4.39	4.25	2.54
1446038_at	2.69	2.76	4.13	4.42	4.36	2.56
1447748_x_at	4.13	4.53	5.46	5.98	5.75	4.07
1443441_x_at	3.11	3.13	4.42	5.13	4.85	3.23
1424447_at	5.77	5.8	6.99	7.55	7.5	5.73
1445899_at	4.7	4.55	5.59	6.11	6.19	4.31
1439585_at	2.61	2.69	3.92	4.43	4.42	2.62
1418519_at	3.53	3.34	4.53	5.07	4.98	3.29
1453289_at	2.69	2.76	4.19	4.73	4.92	2.85
1448679_at	6.45	6.38	7.84	8.17	7.87	6.38
1424411_at	6.82	6.86	8.3	8.72	8.82	6.92
1444662_at	5.12	4.92	5.96	6.68	6.67	4.86
1446610_at	3.64	3.91	4.92	5.45	5.51	3.91
1430964_at	3.07	3.04	3.97	4.61	4.43	2.76
1450830_a_at	2.9	2.89	4.27	4.6	4.42	2.78
1421588_at	4.96	4.92	6.34	7.06	7.22	5.12
1435060_at	2.6	2.34	3.93	4.21	4.24	2.41
1426149_at	4.01	4.05	5.22	5.56	5.62	4.03
1458127_at	3.87	3.61	5	5.58	5.58	3.67
1434607_at	7.43	7.27	8.85	9.32	9.16	7.45
1430849_a_at	6.1	5.84	7.22	7.7	7.47	5.95
1451090_a_at	10.28	10.4	11.58	12.26	12.09	10.38
1433011_at	2.98	3.16	4.2	4.77	4.67	2.82
1455683_a_at	2.59	2.58	4.08	4.3	4.36	2.53
1439787_at	3.75	3.6	4.87	6.18	6.26	3.98
1426644_at	6.32	6.59	7.73	8.08	8.09	6.31
1428724_at	4.59	4.59	5.8	6.54	6.41	4.7
1451570_a_at	8.2	8.15	9.31	10.28	10.21	8.33
1446289_at	2.69	2.93	3.9	4.53	4.35	2.78
1429821_at	4.37	4.23	5.76	6.2	6.21	4.37
1422039_at	3.37	3.11	4.59	5.47	5.07	3.37
1426001_at	5.66	6.52	7.47	7.69	7.75	6.01
1427115_at	2.91	2.88	3.96	4.59	4.57	2.76
1415704_a_at	10.25	10.59	11.53	11.9	11.82	10.09
1453415_at	2.7	3.14	4.39	4.56	4.54	2.96
1428624_at	8.36	8.58	9.75	10.29	10.28	8.46
1452603_at	7.68	7.66	8.81	9.5	9.26	7.68
1430989_a_at	6.87	6.54	8.31	8.63	8.86	7.02
1449644_at	5.62	5.33	6.33	6.97	7.12	5.32
1440423_at	2.55	2.73	3.89	4.34	4.4	2.6
1457509_at	3.55	3.3	4.95	5.11	5.23	3.35
1449605_at	3.16	3.27	4.59	5.07	4.88	3.27
1425543_s_at	8.66	9.62	6.89	10.4	10.32	5.84
1432976_at	2.62	2.59	3.6	4.29	4.23	2.38
1418998_at	2.95	3.12	4.05	4.8	4.63	2.72
1447298_at	2.55	2.48	3.68	4.11	4.25	2.29
1428209_at	2.41	2.25	3.55	4.33	4.11	2.5
1421914_s_at	8.46	8.62	9.69	10.27	10.08	8.39
1435697_a_at	11.99	11.95	13.07	13.86	13.86	12.04
1422451_at	8.81	8.81	9.9	10.58	10.42	8.8
1424984_at	4.37	4.19	5.52	5.76	5.64	3.76
1436292_a_at	11.74	11.77	12.9	13.57	13.53	11.83
1434359_at	3.77	3.75	4.91	5.56	5.64	3.57
1441890_x_at	2.42	2.43	3.62	4.18	4.04	2.4
1456443_at	4.93	4.98	6.16	6.69	6.72	4.58
1428443_a_at	5.94	5.79	7.13	7.6	7.65	5.66
1448972_at	2.48	2.57	3.75	4.35	4.33	2.56
1441723_at	2.43	2.39	3.87	4.2	4.24	2.54
1456805_a_at	2.83	2.89	3.98	4.62	4.61	2.88
1425017_at	2.36	2.43	3.62	4.27	4.29	2.5
1440527_at	2.45	2.57	3.6	4.16	4.1	2.48
1429795_at	3.85	3.86	4.87	5.47	5.53	3.59
1437796_at	2.66	2.77	4.04	4.61	4.43	2.63
1449608_a_at	2.72	2.54	3.86	4.44	4.51	2.51
1459182_at	3.01	2.91	3.98	4.82	4.79	2.78
1431168_at	2.61	2.38	3.88	4.38	4.15	2.38
1451854_a_at	7.94	7.59	8.52	9.17	9.25	7.54
1439190_at	3.72	3.6	4.8	5.39	5.45	3.58
1442044_at	3.4	3.62	4.81	5.53	5.5	3.45
1449194_at	8.12	8.21	9.42	9.72	9.54	8.04
1455502_at	7.12	7.3	8.36	8.92	9.08	7.22
1455912_x_at	6.5	6.54	7.78	8.39	8.35	6.7
1432012_a_at	3.61	3.73	4.87	5.68	5.43	3.79
1443192_at	6.35	6.26	7.35	8.27	8.27	5.85
1456472_at	2.87	2.71	3.93	4.57	4.68	2.87
1434759_at	2.25	2.3	3.44	3.98	3.88	2.14
1433060_at	2.7	2.94	3.97	4.53	4.51	2.62
1450867_at	3.14	3.05	4.63	5.2	5.16	3.29
1456302_at	2.79	2.82	3.89	4.56	4.52	2.74
1421604_a_at	2.7	2.68	4.14	4.68	4.54	2.54
1430046_at	5.2	5.01	6.22	7	6.86	5.19
1457851_at	3.06	2.99	4.44	4.88	4.89	3.24
1449844_at	3.19	2.91	4.1	4.86	4.93	3.04
1418243_at	3.37	3.37	4.67	5.14	5.15	3.35
1432740_at	2.92	2.9	4	4.89	4.43	2.78
1429973_at	2.71	3.03	4.08	4.63	4.53	2.76
1446859_at	2.48	2.48	3.88	4.25	4.09	2.34
1459406_at	3.12	2.88	3.92	4.49	4.37	2.77
1428850_x_at	9.07	8.72	10.51	10.43	10.69	9.04
1439386_x_at	4.44	4.41	5.33	6.27	6.42	4.42
1418858_at	2.74	2.84	4.08	4.56	4.51	2.76
1443544_at	2.89	3.41	4.41	4.9	4.86	2.9
1423143_at	8.31	8.34	9.72	10.18	9.85	8.37
1446000_at	2.77	2.96	4.02	4.77	4.94	2.97
1427073_at	4.43	4.7	5.99	6.46	6.35	4.47
1433441_at	6.36	6.32	7.26	8.13	8.26	6.32
1447164_at	4.59	4.7	5.98	5.82	6.21	4.78
1450603_s_at	2.13	2.28	3.28	3.94	3.93	1.99
1460599_at	5.93	6	7.25	7.61	7.25	5.86
1433812_at	3.82	3.79	4.83	5.13	5.14	3.39
1443382_s_at	4.54	4.46	5.94	6.32	6.35	4.46
1460343_at	3.09	2.94	4.48	4.77	4.68	3.05
1459077_at	2.94	2.91	4.09	4.58	4.29	2.78
1460327_at	6.16	5.93	7.02	7.79	7.84	5.9
1449479_at	2.91	3.15	4.15	4.71	5	3.07
1446822_at	4.28	4.45	5.89	6.42	6.2	4.42
1448191_at	8.53	8.56	9.91	10.37	10.37	8.57
1441186_at	2.88	2.93	4.01	4.92	4.75	2.87
1416892_s_at	11.04	11.19	12.57	13.13	13.24	11.29
1443276_at	2.93	2.89	4.07	4.54	4.48	2.87
1435899_at	4.01	4.14	4.64	5.53	5.49	3.61
1420568_at	4.11	4.13	5.34	6.32	5.91	4.26
1432157_at	2.55	2.47	3.78	4.29	4.12	2.38
1456580_s_at	11.36	11.42	12.72	13.1	13.16	11.35
1435138_at	2.75	2.64	4.14	4.57	4.39	2.71
1441651_at	2.7	2.67	3.93	4.45	4.6	2.59
1424598_at	6.82	6.08	8.4	8.71	8.57	7.2
1453148_at	2.75	2.82	4.23	4.55	4.62	2.69
1430492_at	4.99	4.99	6.02	6.67	6.49	4.78
1450254_at	3.19	3.42	4.57	5.21	5.3	3.36
1432196_a_at	2.99	2.89	4.39	4.56	4.53	2.69
1443373_at	2.88	2.9	4.15	4.86	4.64	2.88
1434981_at	7.35	7.31	8.58	9.18	9.07	7.3
1426379_at	9.42	9.41	10.76	11.17	11.23	9.35
1443295_at	2.72	2.75	3.97	4.47	4.41	2.67
1428529_at	9.77	9.73	10.89	11.45	11.15	9.68
1426361_at	8.14	8.12	9.28	9.81	9.75	7.9
1442821_at	3.28	3.59	5.01	4.87	4.85	3.15
1436442_at	3.9	4.14	5.07	5.67	5.65	3.8
1420143_at	3.07	2.96	4.28	5.1	4.94	3.3
1453033_at	2.46	2.48	3.61	4	4.03	2.19
1425821_at	3.38	3.56	4.95	5.35	4.82	3.31
1456652_at	6.22	6.29	8.01	8.39	8.31	6.62
1458226_at	3.73	3.43	4.6	5.37	5.3	3.63
1434052_at	2.73	2.6	3.79	4.22	4.13	2.52
1440300_at	5.01	4.85	6.28	6.84	7.09	5.26
1420285_at	2.63	2.65	4.02	4.42	4.24	2.61
1444411_at	2.85	2.85	3.99	4.74	4.56	3.05
1449820_at	5.71	5.75	6.99	7.5	7.45	5.6
1459207_at	2.48	2.46	3.63	4.04	4.12	2.28
1442825_at	3.05	3.19	4.27	4.9	4.84	3.03
1419928_at	3.58	3.36	4.73	5.43	5.42	3.54
1451336_at	5.24	5.22	6.51	6.83	6.9	5.01
1455447_at	3.16	3.21	4.56	4.86	4.95	3.06
1419470_at	7.69	7.29	8.36	9.19	8.85	7.29
1439156_at	5.53	5.53	6.77	7.22	7.3	5.35
1455102_at	7.77	7.86	9.07	9.6	9.41	7.7
1427759_a_at	3.25	3.36	4.38	5.01	4.95	3.06
1420515_a_at	5.57	4.93	6.55	7.68	8.45	5.63
1441379_at	2.17	2.28	3.46	3.96	3.85	2.15
1418670_s_at	5.42	5.47	6.45	7.19	6.94	5.17
1426782_at	3.06	2.77	4.15	4.75	4.83	3
1457798_at	3.65	3.76	4.99	5.46	5.31	3.86
1457730_at	3.77	3.4	4.67	4.99	5.27	3.3
1430085_at	2.64	2.79	3.82	4.27	4.28	2.41
1419672_at	2.99	3.15	4.31	4.8	4.86	3.1
1433819_s_at	5.62	5.81	6.85	7.36	7.38	5.43
1442842_at	3.53	3.36	4.47	5.34	5.25	3.65
1452511_at	2.98	3.19	4.31	4.91	4.89	2.84
1455073_at	3.57	3.61	4.86	5.57	5.37	3.57
1436583_at	3.73	3.75	4.87	5.48	5.47	3.78
1419138_at	5.84	5.94	7.17	7.5	7.61	5.81
1420612_s_at	8.13	8.5	9.43	9.86	9.6	8.37
1440809_at	3.14	2.99	4.38	4.78	5.11	2.99
1417270_at	4.9	4.86	6.34	6.19	6.07	4.59
1448567_at	7.28	7.3	8.49	8.76	8.76	7.14
1436856_x_at	7.2	7.2	8.5	8.95	8.86	7.12
1430704_at	3.08	2.9	4.05	4.63	4.77	2.97
1426216_at	6.84	7.19	8.26	8.95	8.88	7.28
1436133_at	2.8	3.07	4.12	4.75	4.94	3
1440824_at	4.29	4.24	5.1	6.17	5.81	4.4
1423650_at	6.47	6.63	8.38	8.57	8.44	6.62
1446226_at	4.28	4.31	5.27	6.08	5.89	4.08
1451558_at	6.47	6.66	8.26	8.29	8.07	6.5
1423956_at	7.6	7.52	9.08	9.44	9.53	7.62
1453934_at	3.73	3.66	4.93	5.47	5.7	3.57
1441356_at	3.29	3.66	4.73	5.36	5.22	3.5
1453519_at	3.14	3.06	4.41	5	4.88	3.03
1435707_at	2.59	2.48	3.98	4.3	4.35	2.6
1418800_at	3.38	3.32	4.66	5.11	5.37	3.45
1459314_at	3.01	2.73	3.81	4.42	4.47	2.84
1450572_at	3.41	3.79	4.89	5.48	5.44	3.77
1424903_at	2.39	2.2	3.45	4.07	4.12	2.09
1444148_at	4.88	5.14	6.17	6.75	6.87	4.84
1442759_at	4.52	4.21	5.28	6.02	5.71	4.21
1443744_at	2.44	2.31	3.7	4.35	4.31	2.42
1440612_at	2	1.94	3.34	3.68	3.73	1.84
1428087_at	8.52	8.25	9.39	9.93	9.8	8.11
1418539_a_at	6.71	6.9	7.97	8.29	9	6.46
1451301_at	2.92	3.14	4.32	4.86	4.78	3.17
1425220_x_at	3.52	3.3	4.45	5.15	5.35	3.4
1460153_at	2.69	2.73	4.04	4.42	4.47	2.69
1428520_at	7.58	7.75	9.02	9.51	9.34	7.58
1416397_at	5.35	5.48	6.78	7.23	7.27	5.46
1419965_at	4.07	3.87	4.8	5.36	5.36	3.9
1444616_x_at	3.3	3.06	4.31	4.82	4.92	3.12
1455806_x_at	10.32	10.35	11.74	11.45	11.89	10.2
1453605_s_at	4.9	4.58	5.68	6.6	6.11	4.67
1455419_at	4.03	4.13	5.23	5.74	5.68	3.81
1419825_at	3.12	3.14	4.35	4.82	4.97	3.15
1451061_at	5.38	5.1	6.73	7.11	7.13	5.49
1442276_at	2.86	2.44	3.91	4.43	4.28	2.44
1441138_at	3.54	3.7	4.83	5.25	5.07	3.48
1455556_at	7.42	7.15	8.36	8.9	8.58	7.26
1442052_at	3.85	3.36	4.93	5.66	5.46	3.64
1459975_at	3.63	3.57	4.81	5.45	5.47	3.69
1439038_at	6.06	5.64	7.24	7.85	7.7	5.99
1441424_at	2.44	2.57	3.87	4.3	4.14	2.64
1434053_x_at	10.29	10.38	11.55	12.1	12	10.3
1423459_at	9.72	9.67	10.74	11.3	11.13	9.44
1441467_at	2.56	2.78	4.18	4.58	4.66	2.73
1429895_at	4.68	5.09	6.01	6.53	6.19	4.17
1436415_at	3.99	3.8	5.13	5.92	5.74	3.73
1436972_at	3.36	3.44	4.72	5.17	5.12	3.22
1455606_at	4.63	5.22	5.85	5.98	5.89	4.18
1455749_x_at	7.05	7.03	8.22	8.93	8.64	7.11
1445158_at	3.24	3.26	4.26	4.97	4.95	3.23
1459685_at	3.65	3.57	4.83	5.22	5.2	3.57
1430885_at	4.22	4.22	5.44	6.14	6.07	4.09
1456826_at	3.18	3.28	4.39	4.99	4.83	3.15
1433816_at	7.81	7.99	9.19	9.72	9.63	7.82
1426507_at	3.87	4.32	5.15	5.97	5.83	4.09
1449547_at	2.48	2.62	4.14	4.39	4.18	2.67
1455210_at	4.35	4.11	5.81	5.81	5.69	4.18
1453116_at	6.38	6.41	7.62	8.11	8.05	6.33
1430530_s_at	6.57	6.49	7.32	8.13	8.3	6.36
1423104_at	2.81	2.63	4.04	4.54	4.44	2.81
1457787_at	2.58	2.76	4	4.4	4.34	2.64
1454576_at	2.66	2.83	3.97	4.22	4.56	2.73
1434116_at	5.67	6.06	7.02	7.39	7.38	5.45
1420437_at	5.33	5.6	6.06	7.05	6.32	4.42
1453193_s_at	3.02	3.08	4.14	4.93	4.77	2.86
1437932_a_at	2.41	2.37	3.48	4.28	4.06	2.42
1425156_at	7.98	7.97	9.15	9.82	9.95	8.25
1424712_at	8.34	8.6	9.66	10.18	9.98	8.4
1440126_at	2.64	2.77	3.68	4.58	4.6	2.87
1443064_at	2.74	2.63	3.8	4.35	4.47	2.58
1423494_at	2.96	3.35	4.35	4.95	4.96	3.09
1428887_at	2.76	2.48	3.86	4.34	4.51	2.49
1447580_at	2.95	3.01	4.21	4.68	4.78	2.87
1434285_at	3.98	3.93	5.12	5.5	5.81	3.69
1451445_at	4.2	4.23	5.37	5.79	5.81	3.98
1455702_at	3.69	3.27	4.67	5.04	5.02	3.55
1417562_at	9.4	9.49	10.25	10.94	10.84	8.99
1429975_at	3.74	3.8	4.77	5.15	5.32	3.46
1458338_x_at	3.19	3.44	4.41	5.04	4.79	3.22
1433780_at	6.01	6.24	7.37	8.02	7.91	6.08
1433089_at	3.45	3.35	4.52	5.29	5.13	3.23
1429158_at	7.84	7.51	8.84	9.38	9.46	7.64
1441340_at	3.06	2.96	4.57	5.09	5.03	3.24
1446227_at	2.44	2.51	3.48	3.97	4.17	2.26
1438963_s_at	6.38	7.12	8.44	9.08	8.96	7.03
1440651_at	2.72	2.77	4.05	4.65	4.27	2.92
1429854_at	2.41	2.29	3.51	4.08	4.15	2.21
1426864_a_at	4.1	3.68	5.09	5.62	5.65	3.92
1448560_at	5.59	5.74	6.86	7.31	7.15	5.24
1455036_s_at	10.7	10.63	11.78	12.51	12.36	10.68
1447469_at	5.7	5.67	6.89	7.62	7.33	5.57
1433383_at	3.25	3	4.17	4.63	4.66	2.99
1455877_a_at	4.24	4.05	5.28	6.07	5.72	4.22
1450147_at	4.65	4.47	5.74	6.29	6.05	4.57
1446170_at	3.59	3.59	4.74	5.37	5.38	3.64
1449224_at	3.05	3.08	4.12	4.87	4.83	3.01
1425095_at	4.57	4.42	5.99	6.41	6	4.6
1456390_at	8.62	8.76	9.89	10.41	10.33	8.6
1447726_at	2.09	2	3.21	3.76	3.73	1.81
1449617_at	6.05	5.82	7.02	7.54	7.64	5.86
1432034_at	3.01	3.11	4.17	4.83	4.85	3.28
1446492_at	2.85	2.98	4.22	4.51	4.72	2.99
1439603_at	3.16	3.24	4.44	4.88	5.09	3.22
1449828_at	2.35	2.26	3.55	3.94	3.94	2.08
1425242_at	5.58	5.62	6.81	7.36	7.3	5.62
1447049_at	2.35	2.58	3.67	4.39	4.38	2.54
1443358_at	4.37	4.52	5.44	6.17	6.21	4.35
1427097_at	8.03	8.14	9.3	9.74	9.62	7.93
1427276_at	8.92	9.05	10.36	10.88	10.72	9.08
1428016_a_at	2.8	2.88	4.22	4.59	4.69	2.72
1443917_at	4.71	4.74	6.11	6.35	6.42	4.67
1428779_at	5.33	5.18	6.28	6.9	6.69	5.07
1445478_at	2.95	2.9	4.12	4.82	4.62	2.95
1418531_at	2.6	2.57	3.99	4.47	4.67	2.54
1440068_at	2.71	2.72	3.7	4.15	4.29	2.45
1451189_at	5.31	5.67	7	7.37	7.45	5.55
1448124_at	7.94	8.31	9.5	9.64	9.7	7.78
1425602_a_at	5.91	5.81	7.21	7.6	7.46	5.78
1442554_s_at	5.96	6.04	7.34	7.8	7.72	6.02
1433007_at	2.46	2.63	3.98	4.43	4.43	2.68
1444661_at	3.66	3.74	4.9	5.43	5.43	3.49
1451022_at	5.57	5.51	6.83	7.26	7.27	5.63
1440553_at	4.01	3.9	5.03	5.33	5.19	3.58
1447140_at	2.66	2.74	3.84	4.55	4.37	2.68
1458653_at	4.22	4.55	5.49	6.2	6.04	4.23
1418358_at	2.72	2.77	3.93	4.48	4.48	2.69
1425896_a_at	2.89	2.97	4.24	4.73	4.52	3.06
1441249_at	3.42	3.52	4.76	5.43	5.13	3.47
1446931_at	2.59	2.84	4.09	4.47	4.52	2.78
1422436_at	4.46	4.54	5.56	6.22	6.31	4.43
1447684_at	3.03	3.12	4.15	4.8	4.82	3.19
1441638_at	3.06	3.09	4.25	4.73	4.81	3.06
1454260_at	3.22	3.38	4.79	5.06	5.04	3.36
1435261_at	3.59	3.39	4.68	5.19	5.12	3.62
1447002_at	2.43	2.44	3.48	4.12	4.06	2.4
1417197_at	3.7	3.47	4.5	5.22	5.26	3.6
1440783_at	2.47	2.45	3.62	4.26	4.27	2.58
1460505_at	2.42	2.58	3.76	4.47	4.39	2.59
1415966_a_at	9.3	9.4	10.57	11.09	10.92	9.24
1451648_a_at	4.27	4.3	5.45	6.09	6.02	4.31
1448338_at	2.4	2.32	3.42	4.06	3.95	2.19
1421953_at	4.88	4.38	5.84	6.85	6.8	4.87
1458918_at	2.97	3.14	4.08	4.78	4.65	2.86
1446100_at	3.89	3.8	4.93	5.71	5.5	3.72
1438901_at	3.6	3.72	5.1	5.31	5.57	3.57
1447090_s_at	9.6	9.64	10.74	11.31	11.22	9.57
1445622_at	3.86	3.81	4.84	5.73	5.62	3.91
1418563_at	7.97	8.17	9.55	9.66	9.64	7.91
1429592_at	2.36	2.3	3.57	4.2	4.07	2.23
1426677_at	9.48	9.55	10.79	11.16	11.31	9.5
1437600_at	2.98	2.61	3.9	4.65	4.31	2.81
1458599_at	6	5.53	7.07	7.94	7.74	6.29
1432055_at	3.14	3.11	4.27	4.8	4.81	3.41
1450649_at	9.66	9.57	10.82	11.58	11.58	9.81
1454134_at	2.6	2.8	4.1	4.45	4.45	2.93
1456378_s_at	6.66	6.81	8.28	8.88	8.62	7.15
1446535_at	2.7	2.58	3.76	4.3	4.34	2.48
1419282_at	2.69	2.7	3.71	4.29	4.35	2.63
1460108_at	2.52	2.54	3.91	4.27	4.09	2.44
1418728_at	3.07	3.25	4.18	4.89	4.82	3.35
1435324_x_at	11.43	11.42	12.66	13.24	13.18	11.31
1430432_at	2.69	2.59	4.03	4.35	4.28	2.8
1425653_at	3.47	3.59	5.02	5.5	5.42	3.48
1459073_x_at	2.72	2.71	3.78	4.48	4.3	2.32
1458631_at	2.71	2.64	4.05	4.42	4.64	2.78
